date,rate,source
2024-08-26,24965.0,yfinance
2024-08-27,24860.0,yfinance
2024-08-28,24820.0,yfinance
2024-08-29,24855.0,yfinance
2024-08-30,24870.0,yfinance
2024-09-02,24860.0,yfinance
2024-09-03,24860.0,yfinance
2024-09-04,24860.0,yfinance
2024-09-05,24852.0,yfinance
2024-09-06,24730.0,yfinance
2024-09-09,24600.0,yfinance
2024-09-10,24680.0,yfinance
2024-09-11,24660.0,yfinance
2024-09-12,24550.0,yfinance
2024-09-13,24575.0,yfinance
2024-09-16,24530.0,yfinance
2024-09-17,24530.0,yfinance
2024-09-18,24620.0,yfinance
2024-09-19,24600.0,yfinance
2024-09-20,24565.0,yfinance
2024-09-23,24590.0,yfinance
2024-09-24,24615.0,yfinance
2024-09-25,24590.0,yfinance
2024-09-26,24580.0,yfinance
2024-09-27,24615.0,yfinance
2024-09-30,24590.0,yfinance
2024-10-01,24555.0,yfinance
2024-10-02,24595.0,yfinance
2024-10-03,24652.0,yfinance
2024-10-04,24745.0,yfinance
2024-10-07,24755.0,yfinance
2024-10-08,24840.0,yfinance
2024-10-09,24835.0,yfinance
2024-10-10,24830.0,yfinance
2024-10-11,24830.0,yfinance
2024-10-14,24800.0,yfinance
2024-10-15,24840.0,yfinance
2024-10-16,24925.0,yfinance
2024-10-17,24970.0,yfinance
2024-10-18,25180.0,yfinance
2024-10-21,25150.0,yfinance
2024-10-22,25285.0,yfinance
2024-10-23,25390.0,yfinance
2024-10-24,25400.0,yfinance
2024-10-25,25385.0,yfinance
2024-10-28,25355.0,yfinance
2024-10-29,25345.0,yfinance
2024-10-30,25295.0,yfinance
2024-10-31,25280.0,yfinance
2024-11-01,25270.0,yfinance
2024-11-04,25280.0,yfinance
2024-11-05,25310.0,yfinance
2024-11-06,25330.0,yfinance
2024-11-07,25370.0,yfinance
2024-11-08,25350.0,yfinance
2024-11-11,25260.0,yfinance
2024-11-12,25310.0,yfinance
2024-11-13,25340.0,yfinance
2024-11-14,25330.0,yfinance
2024-11-15,25390.0,yfinance
2024-11-18,25380.0,yfinance
2024-11-19,25405.0,yfinance
2024-11-20,25395.0,yfinance
2024-11-21,25415.0,yfinance
2024-11-22,25415.0,yfinance
2024-11-25,25417.0,yfinance
2024-11-26,25410.0,yfinance
2024-11-27,25405.0,yfinance
2024-11-28,25375.0,yfinance
2024-11-29,25358.0,yfinance
2024-12-02,25344.0,yfinance
2024-12-03,25374.0,yfinance
2024-12-04,25395.0,yfinance
2024-12-05,25400.0,yfinance
